Model,Type,Accuracy,Precision,Recall,F1-Score
Random Forest,ML Model,0.7209302325581395,0.7339237797086634,0.7209302325581395,0.7234040378226424
Naive Bayes,ML Model,0.6511627906976745,0.7157867169495076,0.6511627906976745,0.6582841762632026
SVM Linear,ML Model,0.6395348837209303,0.6712070874861572,0.6395348837209303,0.6440144682232374
Logistic Regression,ML Model,0.627906976744186,0.6599718111346018,0.627906976744186,0.6340916409100511
Sentiment Transformer,Existing,0.43508771929824563,0.29826831785345714,0.43508771929824563,0.3516917762009393
Sentiment Classic,Existing,0.43508771929824563,0.4100951988582022,0.43508771929824563,0.35610891249783017
