No,Link
180,https://www.detik.com/sulsel/berita/d-8030762/jadwal-kapal-feri-rute-selayar-bira-minggu-27-juli-2025-cek-di-sini
181,https://www.detik.com/sulsel/berita/d-8029229/jadwal-kapal-feri-rute-selayar-bira-sabtu-26-juli-2025-cek-di-sini
182,https://www.detik.com/sulsel/berita/d-8007122/jadwal-kapal-feri-rute-selayar-bira-sabtu-12-juli-2025-cek-di-sini
183,https://finance.detik.com/berita-ekonomi-bisnis/d-8003482/pengusaha-sebut-usia-kapal-feri-ri-lebih-muda-dari-negara-lain?pk_vid=c370aa36641b1014175798213946444d
184,https://finance.detik.com/berita-ekonomi-bisnis/d-8000756/alur-pelabuhan-dikeruk-kapal-feri-bengkulu-enggano-kembali-beroperasi?pk_vid=c370aa36641b1014175798214346444d
185,https://www.detik.com/sulsel/berita/d-7987820/kronologi-kapal-feri-nyaris-tenggelam-usai-kandas-di-perairan-konawe-selatan
186,https://www.detik.com/sulsel/berita/d-7986614/jadwal-kapal-feri-rute-selayar-bira-minggu-29-juni-2025-cek-di-sini
187,https://www.detik.com/sulsel/berita/d-7986293/kapal-feri-kandas-di-perairan-konawe-selatan-gegara-bocor-7-abk-dievakuasi
188,https://www.detik.com/sulsel/berita/d-7975549/jadwal-kapal-feri-rute-selayar-bira-minggu-22-juni-2025-cek-di-sini
189,https://www.detik.com/sulsel/berita/d-7964272/jadwal-kapal-feri-rute-selayar-bira-minggu-15-juni-2025-cek-di-sini
190,https://www.detik.com/bali/nusra/d-7961131/ksop-tegur-dua-kapal-feri-labuan-bajo-sape-ini-penyebabnya
191,https://finance.detik.com/berita-ekonomi-bisnis/d-7955743/libur-idul-adha-416-032-penumpang-naik-feri-merak-bakauheni-ketapang-gilimanuk?pk_vid=c370aa36641b1014175798217946444d
192,https://www.detik.com/sulsel/berita/d-7952385/jadwal-kapal-feri-rute-selayar-bira-sabtu-7-juni-2025-cek-di-sini
193,https://www.detik.com/sulsel/berita/d-7941840/jadwal-kapal-feri-rute-selayar-bira-minggu-1-juni-2025-cek-di-sini
194,https://www.detik.com/sulsel/berita/d-7940594/jadwal-kapal-feri-rute-selayar-bira-sabtu-31-mei-2025-cek-di-sini
195,https://www.detik.com/sulsel/berita/d-7930659/jadwal-kapal-feri-rute-selayar-bira-minggu-25-mei-2025-cek-di-sini
196,https://www.detik.com/sulsel/berita/d-7928510/heboh-balita-di-muna-meninggal-di-kapal-usai-dirujuk-pakai-mobil-pikap
197,https://www.detik.com/sulsel/berita/d-7918886/jadwal-kapal-feri-rute-selayar-bira-minggu-18-mei-2025-cek-di-sini
198,https://www.detik.com/sulsel/berita/d-7908930/jadwal-kapal-feri-rute-selayar-bira-minggu-11-mei-2025-cek-di-sini
199,https://www.detik.com/sulsel/berita/d-7897886/jadwal-kapal-feri-rute-selayar-bira-minggu-4-mei-2025-cek-di-sini
200,https://www.detik.com/sulsel/berita/d-7896536/jadwal-kapal-feri-rute-selayar-bira-sabtu-3-mei-2025-cek-di-sini
201,https://www.detik.com/bali/nusra/d-7895473/pelayaran-ke-pulau-semau-tetap-berjalan-meski-pelabuhan-hansisi-rusak
202,https://20.detik.com/detikupdate/20250428-250428100/video-kapal-angkut-45-penumpang-kecelakaan-di-florida-1-tewas?pk_vid=c370aa36641b1014175798224046444d
203,https://www.detik.com/sulsel/berita/d-7885682/jadwal-kapal-feri-rute-selayar-bira-sabtu-26-april-2025-cek-di-sini
204,https://www.detik.com/sulsel/berita/d-7865947/jadwal-kapal-feri-rute-selayar-bira-minggu-13-april-2025-cek-di-sini
205,https://www.detik.com/sumbagsel/berita/d-7857416/melihat-suasana-dalam-kapal-feri-rute-bakauheni-merak-dipadati-pemudik
206,https://www.detik.com/sulsel/berita/d-7856816/jadwal-kapal-feri-rute-selayar-bira-7-april-ada-8-keberangkatan
207,https://www.detik.com/sulsel/berita/d-7854538/jadwal-kapal-feri-rute-selayar-bira-5-april-ada-12-keberangkatan
208,https://www.detik.com/sulsel/berita/d-7845486/antisipasi-lonjakan-pemudik-asdp-tambah-4-kapal-rute-selayar-bulukumba
209,https://www.detik.com/sumut/berita/d-7840488/kadishub-kepri-ada-penambahan-kapal-feri-untuk-mudik-lebaran-ke-lingga
210,https://finance.detik.com/berita-ekonomi-bisnis/d-7840699/150-ribu-pemudik-tinggalkan-jawa-ke-sumatera-pakai-kapal-feri?pk_vid=c370aa36641b1014175798230246444d
211,https://www.detik.com/sulsel/berita/d-7836585/jadwal-kapal-feri-rute-selayar-bira-23-maret-ada-7-keberangkatan
212,https://20.detik.com/detikupdate/20250317-250317080/video-detik-detik-kapal-feri-tabrak-jembatan-bergerak-di-pelabuhan-merak?pk_vid=c370aa36641b1014175798231046444d
213,https://news.detik.com/berita/d-7827016/kmp-portlink-iii-tabrak-jembatan-bergerak-di-dermaga-eksekutif-merak?pk_vid=c370aa36641b1014175798231746444d
214,https://www.detik.com/sulsel/berita/d-7825046/jadwal-kapal-feri-rute-selayar-bira-16-maret-ada-4-keberangkatan
215,https://www.detik.com/sulsel/berita/d-7823553/jadwal-kapal-feri-rute-selayar-bira-15-maret-ada-4-keberangkatan
216,https://www.detik.com/sulsel/berita/d-7813510/jadwal-kapal-feri-rute-selayar-bira-9-maret-ada-4-keberangkatan
217,https://www.detik.com/sulsel/berita/d-7801965/jadwal-kapal-feri-rute-selayar-bira-2-maret-ada-4-keberangkatan
218,https://www.detik.com/sulsel/berita/d-7789457/jadwal-kapal-feri-rute-selayar-bira-22-februari-ada-5-keberangkatan
219,https://www.detik.com/sulsel/berita/d-7780087/jadwal-kapal-feri-rute-selayar-bira-16-februari-ada-4-keberangkatan
220,https://www.detik.com/sulsel/berita/d-7757463/jadwal-kapal-feri-rute-selayar-bira-1-februari-ada-6-keberangkatan
221,https://www.detik.com/sulsel/berita/d-7738535/jadwal-kapal-feri-rute-selayar-bira-keberangkatan-19-januari-2024
222,https://www.detik.com/sulsel/berita/d-7737381/jadwal-kapal-feri-rute-selayar-bira-18-januari-ada-4-keberangkatan
223,https://www.detik.com/sulsel/berita/d-7728658/jadwal-kapal-feri-rute-selayar-bira-12-januari-ada-4-keberangkatan
224,https://www.detik.com/sulsel/berita/d-7717526/jadwal-kapal-feri-rute-selayar-bira-5-januari-ada-6-keberangkatan
225,https://www.detik.com/sulsel/berita/d-7716427/jadwal-kapal-feri-rute-selayar-bira-4-januari-2024-ada-6-keberangkatan
226,https://www.detik.com/sulsel/berita/d-7711921/jadwal-kapal-feri-rute-selayar-bira-1-januari-2025-ada-4-keberangkatan
227,https://www.detik.com/sulsel/berita/d-7710580/jadwal-kapal-feri-rute-selayar-bira-31-desember-ada-5-keberangkatan
228,https://www.detik.com/sulsel/berita/d-7706293/jadwal-kapal-feri-rute-selayar-bira-28-desember-ada-6-keberangkatan
229,https://www.detik.com/sulsel/berita/d-7697636/jadwal-kapal-feri-rute-selayar-bira-22-desember-ada-5-keberangkatan
230,https://finance.detik.com/berita-ekonomi-bisnis/d-7690531/asdp-buka-bukaan-jurus-cegah-kemacetan-di-pelabuhan-merak-saat-nataru?pk_vid=c370aa36641b1014175798245746444d
231,https://www.detik.com/sulsel/berita/d-7686475/jadwal-kapal-feri-rute-selayar-bira-15-desember-ada-6-keberangkatan
232,https://www.detik.com/sulsel/berita/d-7675582/jadwal-kapal-feri-rute-selayar-bira-8-desember-ada-6-keberangkatan
233,https://www.detik.com/sulsel/berita/d-7675305/jadwal-kapal-feri-rute-selayar-bira-7-desember-ada-6-keberangkatan
234,https://finance.detik.com/foto-bisnis/d-7673707/penyebrangan-feri-balikpapan-ikn-di-ppu-masih-jadi-primadona?pk_vid=c370aa36641b1014175798247746444d
235,https://news.detik.com/berita/d-7672152/jelang-libur-nataru-pengguna-kapal-feri-diminta-waspada-cuaca-ekstrem?pk_vid=c370aa36641b1014175798248246444d
236,https://www.detik.com/sulsel/watampone/d-7670870/jadwal-kapal-feri-rute-bajoe-kolaka-desember-2024-cek-informasinya-di-sini
237,https://finance.detik.com/foto-bisnis/d-7670102/jumlah-penumpang-feri-domestik-di-sultra-meningkat?pk_vid=c370aa36641b1014175798250146444d
238,https://www.detik.com/sulsel/berita/d-7664655/jadwal-kapal-feri-rute-selayar-bira-1-desember-2024-ada-6-keberangkatan
239,https://www.detik.com/bali/hukum-dan-kriminal/d-7639179/penumpang-curi-cincin-liontin-emas-di-kapal-feri-digadai-buat-bayar-utang
240,https://www.detik.com/sulsel/berita/d-7631021/jadwal-kapal-feri-rute-selayar-bira-10-november-ada-6-keberangkatan
241,https://www.detik.com/sulsel/berita/d-7629284/jadwal-kapal-feri-rute-selayar-bira-9-november-ada-6-keberangkatan
242,https://www.detik.com/sulsel/berita/d-7618904/jadwal-kapal-feri-rute-selayar-bira-3-november-ada-6-keberangkatan
243,https://www.detik.com/sulsel/berita/d-7618288/jadwal-kapal-feri-rute-selayar-bira-2-november-ada-6-keberangkatan
244,https://www.detik.com/sulsel/berita/d-7615982/jadwal-feri-rute-bira-lintas-pulau-selayar-november-2024
245,https://www.detik.com/sulsel/berita/d-7573903/jadwal-kapal-feri-rute-selayar-bira-6-oktober-ada-6-keberangkatan
246,https://www.detik.com/sulsel/berita/d-7561217/jadwal-kapal-feri-rute-selayar-bira-28-september-ada-4-keberangkatan
247,https://www.detik.com/sulsel/berita/d-7551412/jadwal-kapal-feri-rute-selayar-bira-22-september-ada-4-keberangkatan
248,https://www.detik.com/sulsel/berita/d-7529062/jadwal-kapal-feri-rute-selayar-bira-7-september-ada-4-keberangkatan
249,https://www.detik.com/sulsel/berita/d-7528905/jadwal-kapal-feri-rute-selayar-bira-7-september-ada-4-keberangkatan
250,https://www.detik.com/sulsel/berita/d-7526349/jadwal-kapal-feri-rute-bira-lintas-pulau-selayar-september-2024
251,https://www.detik.com/sulsel/berita/d-7523940/jadwal-kapal-feri-rute-bajoe-kolaka-september-2024-lengkap-harga-tiketnya
252,https://www.detik.com/sulsel/berita/d-7517795/jadwal-kapal-feri-rute-selayar-bira-31-agustus-2024-ada-4-keberangkatan
253,https://www.detik.com/sulsel/berita/d-7505042/jadwal-kapal-feri-rute-selayar-bira-24-agustus-2024-ada-4-keberangkatan
254,https://finance.detik.com/foto-bisnis/d-7423455/23-kapal-feri-kawal-ajang-balap-motor-internasional-di-lombok?pk_vid=c370aa36641b1014175798260646444d
255,https://finance.detik.com/berita-ekonomi-bisnis/d-7422713/kenapa-beli-tiket-kapal-feri-harus-online-kemenhub-buka-bukaan-alasannya?pk_vid=c370aa36641b1014175798261546444d
256,https://finance.detik.com/foto-bisnis/d-7417301/asyik-ternate-jailolo-kini-bisa-ditempuh-dengan-feri?pk_vid=c370aa36641b1014175798262246444d
257,https://www.detik.com/sulsel/berita/d-7408391/jadwal-keberangkatan-kapal-feri-pelabuhan-bira-26-juni-cek-di-sini
258,https://www.detik.com/sulsel/berita/d-7400277/jadwal-kapal-feri-pelabuhan-bira-21-juni-cek-di-sini
259,https://www.detik.com/sulsel/berita/d-7395517/jadwal-kapal-feri-rute-pamatata-bira-18-juni-ada-5-keberangkatan
260,https://www.detik.com/sumut/berita/d-7381407/kppu-telusuri-penyebab-tarif-feri-batam-singapura-melonjak-tajam
261,https://finance.detik.com/infrastruktur/d-7361779/bp-batam-usulkan-tarif-batas-kapal-feri-imbas-harga-tinggi?pk_vid=c370aa36641b1014175798265746444d
262,https://finance.detik.com/berita-ekonomi-bisnis/d-7361620/kppu-selidiki-4-operator-indikasi-kartel-kenaikan-tarif-feri-batam-singapura?pk_vid=c370aa36641b1014175798266146444d
263,https://finance.detik.com/berita-ekonomi-bisnis/d-7284815/19-700-orang-belum-punya-tiket-feri-jadi-biang-kerok-kemacetan-menuju-merak?pk_vid=c370aa36641b1014175798267246444d
264,https://news.detik.com/berita/d-7282843/tiket-kendaraan-nyeberang-via-feri-merak-bakauheni-sudah-habis-h-2-lebaran?pk_vid=c370aa36641b1014175798267646444d
265,https://finance.detik.com/berita-ekonomi-bisnis/d-7282325/tiket-penyeberangan-kapal-feri-merak-bakauheni-habis-sampai-8-april?pk_vid=c370aa36641b1014175798268046444d
266,https://finance.detik.com/berita-ekonomi-bisnis/d-7268031/pemudik-motor-diarahkan-lewat-pelabuhan-ciwandan-begini-rinciannya?pk_vid=c370aa36641b1014175798268446444d
267,https://finance.detik.com/foto-bisnis/d-7265673/delapan-kapal-feri-siap-angkut-pemudik-antarpulau-di-maluku-utara?pk_vid=c370aa36641b1014175798268846444d
268,https://travel.detik.com/travel-news/d-7261770/tiket-feri-dijual-full-online-nggak-bisa-beli-di-pelabuhan?pk_vid=c370aa36641b1014175798269846444d
269,https://www.cnbcindonesia.com/news/20250313121319-4-618271/mudik-lebaran-naik-kapal-feri-berlaku-diskon-36-ini-rute-jadwalnya
270,https://www.cnbcindonesia.com/news/20250216124357-4-611022/penjualan-tiket-feri-asdp-periode-mudik-lebaran-sudah-dibuka
271,https://www.cnbcindonesia.com/news/20241219143851-4-597336/kapal-angkatan-laut-tabrak-feri-penumpang-13-orang-tewas
272,https://www.cnbcindonesia.com/news/20240219174906-4-515767/penumpang-kapal-feri-tembus-45-juta-orang-ternyata-efek-ini
273,https://www.cnbcindonesia.com/news/20230927144418-4-476034/jelang-harpitnas-ramai-warga-liburan-ke-luar-pulau
274,https://www.cnbcindonesia.com/news/20230918144449-4-473415/asdp-bidik-51-juta-orang-menyeberang-naik-kapal-feri
275,https://www.cnbcindonesia.com/news/20230828202725-4-466908/catat-mulai-besok-pelabuhan-lombok-bali-gunakan-tiket-online
276,https://www.cnbcindonesia.com/news/20230506181430-7-435055/detik-detik-kapal-feri-kmp-royce-1-terbakar-penumpang-panik
277,https://www.cnbcindonesia.com/news/20230419104005-4-431265/hari-pertama-cuti-lebaran-100-ribu-pemudik-padati-merak
278,https://www.cnbcindonesia.com/news/20230414063851-4-429791/ini-dia-cara-pesan-tiket-mudik-kapal-ferry-merak-bakauheni
279,https://www.cnbcindonesia.com/news/20230414063851-4-429791/ini-dia-cara-pesan-tiket-mudik-kapal-ferry-merak-bakauheni
280,https://www.cnbcindonesia.com/news/20230330164156-4-425928/kebakaran-horor-kapal-feri-tetangga-ri-puluhan-orang-tewas
281,https://www.cnbcindonesia.com/news/20221223112625-8-399558/asdp-waspadai-cuaca-buruk-ganggu-penyeberangan-feri-di-nataru
282,https://www.cnbcindonesia.com/news/20221220120850-8-398471/layanan-asdp-sambut-pemudik-kapal-feri-di-nataru-2022-2023
283,https://www.cnbcindonesia.com/news/20220924063919-4-374618/operator-feri-teriak-tarif-ga-naik-sehari-boncos-rp-40-juta
284,https://www.cnbcindonesia.com/news/20210221221329-4-225024/detik-detik-kapal-feri-terbalik-di-sambas-kalimantan-barat
285,https://www.cnbcindonesia.com/news/20180815175816-4-28803/kapal-feri-kmp-bandeng-hilang-kontak-saat-menuju-bitung
